,0
450,1588104.5238517176
451,1602701.2764333214
452,1570729.5391025813
453,1586134.5117041548
454,1590072.6135410552
455,1586835.2168029065
456,1592285.9021881318
457,1591926.8927853408
458,1582787.5118615297
459,1583031.7182401728
460,1566292.8163407473
461,1565362.9448054738
462,1581675.440925707
463,1591109.9436124149
464,1621879.9056100517
465,1621256.3241364532
466,1620956.3931809163
467,1610101.4666954754
468,1620016.4249265504
469,1619024.1453194553
470,1598205.0362109905
471,1593965.5785088392
472,1561278.7269966814
473,1557693.2199522625
474,1588054.5544436036
475,1587559.1680977312
476,1591041.3271261714
477,1567381.4562551223
478,1592691.725067088
479,1582806.1195231848
480,1580070.431694139
481,1568683.5884090192
482,1604968.247633906
483,1621247.6887204223
484,1622703.4373784598
485,1626568.2522326559
486,1632505.6908053823
487,1632913.3659236813
488,1636852.6547796587
489,1646679.2008890202
490,1656665.6465874997
491,1658639.4607904712
492,1655842.6451813874
493,1665813.3148535823
494,1659000.029533334
495,1664744.2701956816
496,1674607.885067195
497,1682687.0267475357
498,1687113.8359034534
499,1683990.5346534844
500,1693479.1842706027
501,1693289.3874946702
502,1690719.4620147601
503,1687013.8967873044
504,1708470.5645415846
505,1714468.6027985201
506,1719964.4182565692
507,1711238.4856455773
508,1717936.2870494178
509,1718176.5362805051
510,1726220.65042545
511,1739057.7883476275
512,1740086.6824471406
513,1748229.085030648
514,1740466.2205715852
515,1736186.5191949592
516,1723249.8637831733
517,1728357.8780393237
518,1751162.986772869
519,1759839.0011222803
520,1769032.2065652884
521,1774722.6386604153
522,1745020.427695455
523,1762435.7295532497
524,1795146.2254120526
525,1794130.8669776672
526,1800269.0630626574
527,1804692.6585595703
528,1818651.0703473254
529,1824253.341578576
530,1819683.5471198251
531,1818136.1654380853
532,1819382.0476134361
533,1829743.5301647808
534,1823720.80279536
535,1832303.759763655
536,1828382.2666515775
537,1829992.9357831122
538,1815319.6835902454
539,1831408.2484298656
540,1827547.5823970023
541,1837756.6991234699
542,1861032.2186376473
543,1839634.0497515267
544,1848795.2668257635
545,1875088.418614425
546,1865989.3426933768
547,1851548.842580654
548,1862158.0924582388
549,1846544.5994205337
550,1803622.9449367393
551,1817675.6444566958
552,1822824.8357355418
553,1805431.5442206818
554,1759987.506387529
555,1797818.3300631884
556,1801068.9446630753
557,1837776.834712203
558,1839454.0456347514
559,1842090.9061705333
560,1855834.7635870446
561,1878592.5841838773
562,1873349.923177461
563,1886639.4123815822
564,1890615.906252053
565,1888213.285473188
566,1891401.6087596484
567,1887706.0995465596
568,1891641.3613408534
569,1884890.272517675
570,1886480.829357151
571,1885228.744322168
572,1868673.8193494477
573,1839588.0771396195
574,1843448.4761989599
575,1844527.829886968
576,1846136.941304394
577,1829781.8937969652
578,1847809.2346826477
579,1887299.238918572
580,1900305.653313575
581,1899248.4597377542
582,1914124.26978437
583,1920243.5421695686
584,1919244.1266335256
585,1930372.8318543967
586,1916505.2899914018
587,1901356.0344815499
588,1891574.9294396127
589,1864107.931222618
590,1869779.7362524804
591,1880622.7942590031
592,1888979.6924539206
593,1865051.9318264548
594,1868612.4491538974
595,1854891.5038707121
596,1837835.290779919
597,1832203.103555157
598,1852331.5739625036
599,1864126.7888374384
600,1842564.9744603704
601,1825239.1572585176
602,1826777.8170449494
603,1842364.9996955325
604,1843460.1731219788
605,1846795.3881329424
606,1882603.5008606017
607,1843843.0949203875
608,1834284.0269918623
609,1822542.0547099074
610,1805030.5584969197
611,1793346.6806082285
612,1798719.6700960752
613,1809698.0287286465
614,1779003.9120155822
615,1778150.139053789
616,1803857.2867834414
617,1772419.3120097688
618,1782432.0821509724
619,1775539.519977959
620,1778971.457982811
621,1807075.5793064565
622,1797035.9050610282
623,1797148.5400174581
624,1771364.3518824622
625,1793507.9533760468
626,1817668.0361836667
627,1823882.297750321
628,1847268.9016828542
629,1875792.2743192567
630,1887197.0553793635
631,1892499.706580694
632,1911181.3588497187
633,1906436.759685291
634,1881824.3446070962
635,1878591.3177700627
636,1888215.687596614
637,1882733.4200028619
638,1904190.790516844
639,1912139.7620538326
640,1933162.431567697
641,1939277.8798283855
642,1963509.572108464
643,1964544.834563236
644,1960294.3304174142
645,1958271.7338852482
646,1917714.2597215413
647,1904504.0429333465
648,1890719.5755085736
649,1905746.0314588728
650,1860281.9176254186
651,1863658.8900065538
652,1772417.9656545925
653,1774351.1910301317
654,1663480.7409931088
655,1730533.5192349397
656,1670296.2121844885
657,1730785.3223419585
658,1756249.7146043594
659,1798763.8051312428
660,1782732.3162383249
